wwtp,samp_date,parameter,effluent,influent,difference,formation
Donald C. Tillman WWRP,2021-07-07,PFHxA,20.2,0,20.2,TRUE
Donald C. Tillman WWRP,2021-07-07,PFOA,9.81,0,9.81,TRUE
El Estero Water Resource Center NPDES,2021-02-17,PFBA,6.2,0,6.2,TRUE
El Estero Water Resource Center NPDES,2021-02-17,PFBS,2.9,0,2.9,TRUE
El Estero Water Resource Center NPDES,2021-02-17,PFHpA,3.6,0,3.6,TRUE
El Estero Water Resource Center NPDES,2021-02-17,PFHxA,43,25,18,TRUE
El Estero Water Resource Center NPDES,2021-02-17,PFOA,9.066666666666666,0,9.066666666666666,TRUE
El Estero Water Resource Center NPDES,2021-02-17,PFPA,39.666666666666664,25,14.666666666666664,TRUE
El Estero Water Resource Center NPDES,2021-05-05,PFHxA,31.75,13.566666666666666,18.183333333333334,TRUE
El Estero Water Resource Center NPDES,2021-05-05,PFOA,15.25,6.766666666666667,8.483333333333334,TRUE
El Estero Water Resource Center NPDES,2021-05-05,PFPA,33.5,11.633333333333333,21.866666666666667,TRUE
El Estero Water Resource Center NPDES,2021-09-22,ETFOSA,23,0,23,TRUE
El Estero Water Resource Center NPDES,2021-09-22,PFHxA,29.75,9.35,20.4,TRUE
El Estero Water Resource Center NPDES,2021-09-22,PFPA,44,6.2,37.8,TRUE
Encina Wastewater Authority,2020-12-29,6:2FTS,8.7,1.1,7.6,TRUE
Encina Wastewater Authority,2021-02-09,NMEFOSAA,2.8,0,2.8,TRUE
Encina Wastewater Authority,2021-02-09,PFHxA,16,11,5,TRUE
Encina Wastewater Authority,2021-02-09,PFOA,12,6.6,5.4,TRUE
Encina Wastewater Authority,2021-05-04,PFBA,14,0,14,TRUE
Encina Wastewater Authority,2021-05-04,PFHxA,18,8.3,9.7,TRUE
Encina Wastewater Authority,2021-05-04,PFOA,8.5,5.7,2.8,TRUE
Hyperion WWTP,2020-10-05,FOSA,19.4,0,19.4,TRUE
Hyperion WWTP,2020-10-05,PFHxA,13,6.728,6.272,TRUE
Hyperion WWTP,2020-10-05,PFOA,8.54,6.03,2.509999999999999,TRUE
Hyperion WWTP,2021-02-02,FOSA,17.1,0,17.1,TRUE
Hyperion WWTP,2021-02-02,PFHxA,16.1,9.244,6.856000000000002,TRUE
Hyperion WWTP,2021-02-02,PFPA,11.4,6.696666666666666,4.703333333333334,TRUE
Hyperion WWTP,2021-04-04,FOSA,37.6,0,37.6,TRUE
Hyperion WWTP,2021-04-04,PFBS,11.4,8.37,3.030000000000001,TRUE
Hyperion WWTP,2021-04-04,PFHxA,10.6,5.3325,5.2675,TRUE
Hyperion WWTP,2021-04-04,PFOA,6.12,0,6.12,TRUE
Lompoc City WRP,2021-03-09,PFBS,9.7,0,9.7,TRUE
Lompoc City WRP,2021-03-09,PFHxA,42,0,42,TRUE
Lompoc City WRP,2021-03-09,PFHxS,17,8.8,8.2,TRUE
Lompoc City WRP,2021-03-09,PFOA,9,0,9,TRUE
Lompoc City WRP,2021-03-09,PFOS,5.4,0,5.4,TRUE
Lompoc City WRP,2021-06-17,PFBA,240,130,110,TRUE
Lompoc City WRP,2021-06-17,PFBS,12,0,12,TRUE
Lompoc City WRP,2021-06-17,PFHxA,45,0,45,TRUE
Lompoc City WRP,2021-06-17,PFHxS,14,0,14,TRUE
Lompoc City WRP,2021-06-17,PFOA,11,0,11,TRUE
Lompoc City WRP,2021-06-17,PFOS,2.2,0,2.2,TRUE
Lompoc City WRP,2021-06-17,PFPA,39,0,39,TRUE
Lompoc City WRP,2021-06-17,PFPES,4.2,0,4.2,TRUE
Los Angeles-Glendale WWRP,2020-10-05,FOSA,5.2,0,5.2,TRUE
Los Angeles-Glendale WWRP,2020-10-05,PFHxA,21.5,7.92,13.58,TRUE
Los Angeles-Glendale WWRP,2020-10-05,PFOA,4.98,0,4.98,TRUE
Los Angeles-Glendale WWRP,2020-10-05,PFPA,20.2,4.75,15.45,TRUE
Los Angeles-Glendale WWRP,2021-02-02,PFHxA,19.3,8.59,10.71,TRUE
Los Angeles-Glendale WWRP,2021-02-02,PFOA,6.94,0,6.94,TRUE
Los Angeles-Glendale WWRP,2021-02-02,PFPA,17.5,5.6,11.9,TRUE
Los Angeles-Glendale WWRP,2021-04-04,FOSA,5.44,0,5.44,TRUE
Los Angeles-Glendale WWRP,2021-04-04,PFBA,8.05,5.66,2.3900000000000006,TRUE
Los Angeles-Glendale WWRP,2021-04-04,PFHxA,17,5.29,11.71,TRUE
Los Angeles-Glendale WWRP,2021-04-04,PFOA,5.21,0,5.21,TRUE
Los Angeles-Glendale WWRP,2021-04-04,PFPA,17.2,0,17.2,TRUE
Los Angeles-Glendale WWRP,2021-07-07,6:2FTS,6.3,0,6.3,TRUE
Los Angeles-Glendale WWRP,2021-07-07,FOSA,8.83,0,8.83,TRUE
Los Angeles-Glendale WWRP,2021-07-07,PFHxA,17,8.13,8.87,TRUE
Los Angeles-Glendale WWRP,2021-07-07,PFOA,6.62,0,6.62,TRUE
Margaret H. Chandler WWRF,2021-10-06,PFHxA,43,0,43,TRUE
Margaret H. Chandler WWRF,2021-03-29,5:3FTCA,4.4,0,4.4,TRUE
Margaret H. Chandler WWRF,2021-03-29,PFHxA,44,0,44,TRUE
Margaret H. Chandler WWRF,2021-03-29,PFHxS,8,0,8,TRUE
Margaret H. Chandler WWRF,2021-03-29,PFOA,4.8,0,4.8,TRUE
Margaret H. Chandler WWRF,2021-05-05,PFBA,6.9,0,6.9,TRUE
Margaret H. Chandler WWRF,2021-05-05,PFHxA,25,0,25,TRUE
Margaret H. Chandler WWRF,2021-05-05,PFOS,8.7,0,8.7,TRUE
Margaret H. Chandler WWRF,2021-07-07,6:2FTS,13,0,13,TRUE
Margaret H. Chandler WWRF,2021-07-07,PFHxA,34,0,34,TRUE
Margaret H. Chandler WWRF,2021-07-07,PFHxS,6.9,0,6.9,TRUE
Margaret H. Chandler WWRF,2021-07-07,PFOA,4.7,0,4.7,TRUE
Margaret H. Chandler WWRF,2021-07-07,PFOS,28,0,28,TRUE
Michelson WWRF,2020-11-12,PFHxA,32,7.8500000000000005,24.15,TRUE
Michelson WWRF,2020-11-12,PFOA,14.5,5.05,9.45,TRUE
Michelson WWRF,2020-11-12,PFPA,50,7.275,42.725,TRUE
Michelson WWRF,2021-02-03,PFBA,9.3,4.65,4.65,TRUE
Michelson WWRF,2021-02-03,PFBS,5.85,3.4000000000000004,2.4499999999999993,TRUE
Michelson WWRF,2021-02-03,PFHxA,37.5,8.600000000000001,28.9,TRUE
Michelson WWRF,2021-02-03,PFOA,16,6.3,9.7,TRUE
Michelson WWRF,2021-02-03,PFPA,50,6.949999999999999,43.05,TRUE
Michelson WWRF,2021-04-30,PFBA,5.925,3.05,2.875,TRUE
Michelson WWRF,2021-04-30,PFDA,3.1,0.6799999999999999,2.42,TRUE
Michelson WWRF,2021-04-30,PFHxA,35.5,6.550000000000001,28.95,TRUE
Michelson WWRF,2021-04-30,PFOA,13.75,3.7,10.05,TRUE
Michelson WWRF,2021-04-30,PFPA,36.5,4.7,31.8,TRUE
Michelson WWRF,2021-07-22,PFBA,6.45,0,6.45,TRUE
Michelson WWRF,2021-07-22,PFDA,2.5999999999999996,0,2.5999999999999996,TRUE
Michelson WWRF,2021-07-22,PFHxA,36.5,7.65,28.85,TRUE
Michelson WWRF,2021-07-22,PFOA,17,4.625,12.375,TRUE
Michelson WWRF,2021-07-22,PFPA,66.5,7.475,59.025,TRUE
Ojai Valley WWTP,2020-11-18,PFBS,9.4,0,9.4,TRUE
Ojai Valley WWTP,2020-11-18,PFHxA,27,6.8,20.2,TRUE
Ojai Valley WWTP,2020-11-18,PFOA,18,3.2,14.8,TRUE
Ojai Valley WWTP,2020-11-18,PFPA,65,6.7,58.3,TRUE
Ojai Valley WWTP,2021-03-16,PFBS,7.9,1.4500000000000002,6.45,TRUE
Ojai Valley WWTP,2021-03-16,PFHxA,22,8.15,13.85,TRUE
Ojai Valley WWTP,2021-03-16,PFOA,20.5,5.1,15.4,TRUE
Ojai Valley WWTP,2021-03-16,PFPA,46.5,5.2,41.3,TRUE
Ojai Valley WWTP,2021-06-22,PFBA,4.6,2.2,2.3999999999999995,TRUE
Ojai Valley WWTP,2021-06-22,PFBS,11,3.4000000000000004,7.6,TRUE
Ojai Valley WWTP,2021-06-22,PFHpA,4.5,1.2999999999999998,3.2,TRUE
Ojai Valley WWTP,2021-06-22,PFHxA,25,4.9,20.1,TRUE
Ojai Valley WWTP,2021-06-22,PFOA,28.5,3.5,25,TRUE
Ojai Valley WWTP,2021-06-22,PFPA,67,2.3,64.7,TRUE
Oxnard WWTP,2021-01-21,PFBS,260,110,150,TRUE
Oxnard WWTP,2021-01-21,PFHxDA,26,12,14,TRUE
Oxnard WWTP,2021-01-21,PFOA,33,17,16,TRUE
Oxnard WWTP,2021-07-13,PFBA,19,0,19,TRUE
Oxnard WWTP,2021-07-13,PFHxDA,16,11,5,TRUE
Oxnard WWTP,2021-07-13,PFOA,21,6.1,14.9,TRUE
Palm Springs WWTF,2020-12-17,PFHxA,11.9,0,11.9,TRUE
Palm Springs WWTF,2020-12-17,PFPA,13.9,0,13.9,TRUE
Palm Springs WWTF,2021-03-17,PFHxA,14.4,6.18,8.22,TRUE
Palm Springs WWTF,2021-03-17,PFOA,4.88,0,4.88,TRUE
Palm Springs WWTF,2021-03-17,PFPA,12.5,0,12.5,TRUE
Palm Springs WWTF,2021-06-10,FOSA,6.38,0,6.38,TRUE
Palm Springs WWTF,2021-06-10,PFBA,6.5,0,6.5,TRUE
Palm Springs WWTF,2021-06-10,PFBS,6.86,0,6.86,TRUE
Palm Springs WWTF,2021-06-10,PFHxA,12.9,5.76,7.140000000000001,TRUE
Palm Springs WWTF,2021-06-10,PFOA,5.33,0,5.33,TRUE
Palm Springs WWTF,2021-06-10,PFPA,13.7,0,13.7,TRUE
Palm Springs WWTF,2021-07-30,6:2FTS,5.13,0,5.13,TRUE
Palm Springs WWTF,2021-07-30,FOSA,10.8,0,10.8,TRUE
Palm Springs WWTF,2021-07-30,PFBA,4.44,0,4.44,TRUE
Palm Springs WWTF,2021-07-30,PFHxA,12.8,0,12.8,TRUE
Palm Springs WWTF,2021-07-30,PFOA,5.28,0,5.28,TRUE
Palm Springs WWTF,2021-07-30,PFPA,17.5,0,17.5,TRUE
Palmdale Water Reclamation Plant,2020-11-24,PFBA,2.94,0,2.94,TRUE
Palmdale Water Reclamation Plant,2020-11-24,PFBS,3.02,0,3.02,TRUE
Palmdale Water Reclamation Plant,2020-11-24,PFHxA,19.1,4.27,14.830000000000002,TRUE
Palmdale Water Reclamation Plant,2020-11-24,PFOA,8.18,0,8.18,TRUE
Palmdale Water Reclamation Plant,2020-11-24,PFPA,9.16,2.24,6.92,TRUE
Palmdale Water Reclamation Plant,2021-02-23,PFBA,2.33,0,2.33,TRUE
Palmdale Water Reclamation Plant,2021-02-23,PFBS,2.18,0,2.18,TRUE
Palmdale Water Reclamation Plant,2021-02-23,PFHxA,20.4,4.49,15.909999999999998,TRUE
Palmdale Water Reclamation Plant,2021-02-23,PFOA,4.75,0,4.75,TRUE
Palmdale Water Reclamation Plant,2021-02-23,PFPA,7.89,0,7.89,TRUE
Palmdale Water Reclamation Plant,2021-05-25,PFBS,3.05,0,3.05,TRUE
Palmdale Water Reclamation Plant,2021-05-25,PFHxA,17.7,5.12,12.579999999999998,TRUE
Palmdale Water Reclamation Plant,2021-05-25,PFOA,5.75,0,5.75,TRUE
Palmdale Water Reclamation Plant,2021-05-25,PFOS,2.03,0,2.03,TRUE
Palmdale Water Reclamation Plant,2021-05-25,PFPA,7.78,3.7,4.08,TRUE
Palmdale Water Reclamation Plant,2021-09-08,PFBA,3.05,0,3.05,TRUE
Palmdale Water Reclamation Plant,2021-09-08,PFHxA,18.9,5.5,13.399999999999999,TRUE
Palmdale Water Reclamation Plant,2021-09-08,PFOA,7.31,0,7.31,TRUE
Palmdale Water Reclamation Plant,2021-09-08,PFPA,13.9,4.57,9.33,TRUE
Point Loma WWTP & Ocean Outfall,2021-01-12,5:3FTCA,41,0,41,TRUE
Point Loma WWTP & Ocean Outfall,2020-10-01,6:2FTS,5.7,0,5.7,TRUE
Point Loma WWTP & Ocean Outfall,2020-10-01,PFBA,42,0,42,TRUE
Point Loma WWTP & Ocean Outfall,2020-10-01,PFOA,13,0,13,TRUE
Point Loma WWTP & Ocean Outfall,2020-10-01,PFOS,8.2,0,8.2,TRUE
Point Loma WWTP & Ocean Outfall,2021-04-22,5:3FTCA,46,0,46,TRUE
Point Loma WWTP & Ocean Outfall,2021-04-22,PFHxA,28,0,28,TRUE
Point Loma WWTP & Ocean Outfall,2021-07-01,PFPA,60,53,7,TRUE
San Jose Creek Water Reclamation Plant,2020-11-19,FOSA,3.49,0,3.49,TRUE
San Jose Creek Water Reclamation Plant,2020-11-19,PFHxA,18.7,2.71,15.989999999999998,TRUE
San Jose Creek Water Reclamation Plant,2020-11-19,PFOA,6.29,0,6.29,TRUE
San Jose Creek Water Reclamation Plant,2020-11-19,PFPA,16.3,0,16.3,TRUE
San Jose Creek Water Reclamation Plant,2021-02-09,FOSA,2.63,0,2.63,TRUE
San Jose Creek Water Reclamation Plant,2021-02-09,PFHxA,15.8,3.43,12.370000000000001,TRUE
San Jose Creek Water Reclamation Plant,2021-02-09,PFOA,5.84,0,5.84,TRUE
San Jose Creek Water Reclamation Plant,2021-02-09,PFPA,13.4,3.37,10.030000000000001,TRUE
San Jose Creek Water Reclamation Plant,2021-05-25,FOSA,2.33,0,2.33,TRUE
San Jose Creek Water Reclamation Plant,2021-05-25,PFBA,6.11,0,6.11,TRUE
San Jose Creek Water Reclamation Plant,2021-05-25,PFHxA,18,5.01,12.99,TRUE
San Jose Creek Water Reclamation Plant,2021-05-25,PFOA,4.94,2.14,2.8000000000000003,TRUE
San Jose Creek Water Reclamation Plant,2021-05-25,PFPA,12.9,4.9,8,TRUE
San Jose Creek Water Reclamation Plant,2021-08-03,FOSA,9.13,0,9.13,TRUE
San Jose Creek Water Reclamation Plant,2021-08-03,PFBA,6.17,0,6.17,TRUE
San Jose Creek Water Reclamation Plant,2021-08-03,PFHxA,17.9,0,17.9,TRUE
San Jose Creek Water Reclamation Plant,2021-08-03,PFOA,4.92,0,4.92,TRUE
San Jose Creek Water Reclamation Plant,2021-08-03,PFPA,15.9,0,15.9,TRUE
South Bay WRP,2020-10-01,PFBS,31,23,8,TRUE
South Bay WRP,2020-10-01,PFPA,49,46,3,TRUE
South Bay WRP,2021-04-22,PFBA,48,25,23,TRUE
South Bay WRP,2021-04-22,PFHxA,47,39,8,TRUE
South Bay WRP,2021-04-22,PFHxS,9.9,4.6,5.300000000000001,TRUE
South Bay WRP,2021-04-22,PFNA,2.1,0,2.1,TRUE
South Bay WRP,2021-04-22,PFPA,53,42.666666666666664,10.333333333333336,TRUE
South Bay WRP,2021-07-01,PFHxA,64,46,18,TRUE
Terminal Island Water Reclamation Plant,2020-10-05,FOSA,9.94,0,9.94,TRUE
Terminal Island Water Reclamation Plant,2020-10-05,PFBA,6.84,0,6.84,TRUE
Terminal Island Water Reclamation Plant,2020-10-05,PFBS,6.05,0,6.05,TRUE
Terminal Island Water Reclamation Plant,2020-10-05,PFHxA,20.5,6.36,14.14,TRUE
Terminal Island Water Reclamation Plant,2020-10-05,PFHxS,10.9,4.93,5.970000000000001,TRUE
Terminal Island Water Reclamation Plant,2020-10-05,PFOA,8.31,0,8.31,TRUE
Terminal Island Water Reclamation Plant,2020-10-05,PFOS,28.5,8.18,20.32,TRUE
Terminal Island Water Reclamation Plant,2020-10-05,PFPA,15,4.5,10.5,TRUE
Terminal Island Water Reclamation Plant,2021-02-02,6:2FTS,29.7,24.2,5.5,TRUE
Terminal Island Water Reclamation Plant,2021-02-02,FOSA,6.08,0,6.08,TRUE
Terminal Island Water Reclamation Plant,2021-02-02,PFBA,17.4,7.04,10.36,TRUE
Terminal Island Water Reclamation Plant,2021-02-02,PFBS,14,10.4,3.5999999999999996,TRUE
Terminal Island Water Reclamation Plant,2021-02-02,PFHxA,36.9,23.5,13.399999999999999,TRUE
