wwtp,samp_date,field_pt_name,parameter,mean_value
Hyperion WWTP,2021-02-02,influent,PFOS,14.106
Hyperion WWTP,2021-02-02,influent,PFPA,6.696666666666666
Hyperion WWTP,2021-04-04,effluent,FOSA,37.6
Hyperion WWTP,2021-04-04,effluent,PFBA,5.16
Hyperion WWTP,2021-04-04,effluent,PFBS,11.4
Hyperion WWTP,2021-04-04,effluent,PFHxA,10.6
Hyperion WWTP,2021-04-04,effluent,PFOA,6.12
Hyperion WWTP,2021-04-04,effluent,PFOS,5.59
Hyperion WWTP,2021-04-04,effluent,PFPA,5.08
Hyperion WWTP,2021-04-04,influent,PFBA,5.15
Hyperion WWTP,2021-04-04,influent,PFBS,8.37
Hyperion WWTP,2021-04-04,influent,PFHxA,5.3325
Hyperion WWTP,2021-04-04,influent,PFOS,6.406666666666666
Hyperion WWTP,2021-04-04,influent,PFPA,4.775
Hyperion WWTP,2021-09-12,influent,6:2FTS,4.66
Hyperion WWTP,2021-09-12,influent,PFBA,6.23
Hyperion WWTP,2021-09-12,influent,PFBS,19.2
Hyperion WWTP,2021-09-12,influent,PFHxA,6.2124999999999995
Hyperion WWTP,2021-09-12,influent,PFHxS,4.36
Hyperion WWTP,2021-09-12,influent,PFOA,4.705
Hyperion WWTP,2021-09-12,influent,PFOS,20.526666666666667
Hyperion WWTP,2021-09-12,influent,PFPA,4.743333333333333
Lompoc City WRP,2021-03-09,effluent,NMEFOSAA,1
Lompoc City WRP,2021-03-09,effluent,PFBS,9.7
Lompoc City WRP,2021-03-09,effluent,PFDA,1.1
Lompoc City WRP,2021-03-09,effluent,PFHxA,42
Lompoc City WRP,2021-03-09,effluent,PFHxS,17
Lompoc City WRP,2021-03-09,effluent,PFOA,9
Lompoc City WRP,2021-03-09,effluent,PFOS,5.4
Lompoc City WRP,2021-03-09,effluent,PFPES,3.7
Lompoc City WRP,2021-03-09,influent,PFHxS,8.8
Lompoc City WRP,2021-03-09,influent,PFPES,2
Lompoc City WRP,2021-06-17,effluent,PFBA,240
Lompoc City WRP,2021-06-17,effluent,PFBS,12
Lompoc City WRP,2021-06-17,effluent,PFHxA,45
Lompoc City WRP,2021-06-17,effluent,PFHxS,14
Lompoc City WRP,2021-06-17,effluent,PFOA,11
Lompoc City WRP,2021-06-17,effluent,PFOS,2.2
Lompoc City WRP,2021-06-17,effluent,PFPA,39
Lompoc City WRP,2021-06-17,effluent,PFPES,4.2
Lompoc City WRP,2021-06-17,influent,PFBA,130
Los Angeles-Glendale WWRP,2020-10-05,effluent,FOSA,5.2
Los Angeles-Glendale WWRP,2020-10-05,effluent,PFBA,9.05
Los Angeles-Glendale WWRP,2020-10-05,effluent,PFHxA,21.5
Los Angeles-Glendale WWRP,2020-10-05,effluent,PFOA,4.98
Los Angeles-Glendale WWRP,2020-10-05,effluent,PFPA,20.2
Los Angeles-Glendale WWRP,2020-10-05,influent,PFBA,8.64
Los Angeles-Glendale WWRP,2020-10-05,influent,PFHxA,7.92
Los Angeles-Glendale WWRP,2020-10-05,influent,PFPA,4.75
Los Angeles-Glendale WWRP,2021-02-02,effluent,PFBA,10.2
Los Angeles-Glendale WWRP,2021-02-02,effluent,PFHxA,19.3
Los Angeles-Glendale WWRP,2021-02-02,effluent,PFOA,6.94
Los Angeles-Glendale WWRP,2021-02-02,effluent,PFPA,17.5
Los Angeles-Glendale WWRP,2021-02-02,influent,6:2FTS,13.3
Los Angeles-Glendale WWRP,2021-02-02,influent,ADONA,11.2
Los Angeles-Glendale WWRP,2021-02-02,influent,PFBA,10.2
Los Angeles-Glendale WWRP,2021-02-02,influent,PFHxA,8.59
Los Angeles-Glendale WWRP,2021-02-02,influent,PFOS,5.22
Los Angeles-Glendale WWRP,2021-02-02,influent,PFPA,5.6
Los Angeles-Glendale WWRP,2021-04-04,effluent,FOSA,5.44
Los Angeles-Glendale WWRP,2021-04-04,effluent,PFBA,8.05
Los Angeles-Glendale WWRP,2021-04-04,effluent,PFHxA,17
Los Angeles-Glendale WWRP,2021-04-04,effluent,PFOA,5.21
Los Angeles-Glendale WWRP,2021-04-04,effluent,PFPA,17.2
Los Angeles-Glendale WWRP,2021-04-04,influent,PFBA,5.66
Los Angeles-Glendale WWRP,2021-04-04,influent,PFHxA,5.29
Los Angeles-Glendale WWRP,2021-07-07,effluent,6:2FTS,6.3
Los Angeles-Glendale WWRP,2021-07-07,effluent,FOSA,8.83
Los Angeles-Glendale WWRP,2021-07-07,effluent,PFBA,11.2
Los Angeles-Glendale WWRP,2021-07-07,effluent,PFHxA,17
Los Angeles-Glendale WWRP,2021-07-07,effluent,PFOA,6.62
Los Angeles-Glendale WWRP,2021-07-07,effluent,PFPA,16.1
Los Angeles-Glendale WWRP,2021-07-07,influent,PFBA,10.6
Los Angeles-Glendale WWRP,2021-07-07,influent,PFHxA,8.13
Los Angeles-Glendale WWRP,2021-07-07,influent,PFPA,187
Margaret H. Chandler WWRF,2021-10-06,effluent,PFHxA,43
Margaret H. Chandler WWRF,2021-03-29,effluent,5:3FTCA,4.4
Margaret H. Chandler WWRF,2021-03-29,effluent,6:2FTS,2.7
Margaret H. Chandler WWRF,2021-03-29,effluent,PFBA,8.6
Margaret H. Chandler WWRF,2021-03-29,effluent,PFHxA,44
Margaret H. Chandler WWRF,2021-03-29,effluent,PFHxS,8
Margaret H. Chandler WWRF,2021-03-29,effluent,PFOA,4.8
Margaret H. Chandler WWRF,2021-03-29,effluent,PFOS,8.5
Margaret H. Chandler WWRF,2021-03-29,effluent,PFPA,14
Margaret H. Chandler WWRF,2021-03-29,influent,6:2FTS,16
Margaret H. Chandler WWRF,2021-03-29,influent,PFBA,32
Margaret H. Chandler WWRF,2021-03-29,influent,PFDS,28
Margaret H. Chandler WWRF,2021-03-29,influent,PFOS,30
Margaret H. Chandler WWRF,2021-03-29,influent,PFPA,24
Margaret H. Chandler WWRF,2021-05-05,effluent,PFBA,6.9
Margaret H. Chandler WWRF,2021-05-05,effluent,PFHxA,25
Margaret H. Chandler WWRF,2021-05-05,effluent,PFOS,8.7
Margaret H. Chandler WWRF,2021-05-05,effluent,PFPA,13
Margaret H. Chandler WWRF,2021-05-05,influent,PFPA,37
Margaret H. Chandler WWRF,2021-07-07,effluent,6:2FTS,13
Margaret H. Chandler WWRF,2021-07-07,effluent,PFBA,4.3
Margaret H. Chandler WWRF,2021-07-07,effluent,PFHxA,34
Margaret H. Chandler WWRF,2021-07-07,effluent,PFHxS,6.9
Margaret H. Chandler WWRF,2021-07-07,effluent,PFOA,4.7
Margaret H. Chandler WWRF,2021-07-07,effluent,PFOS,28
Margaret H. Chandler WWRF,2021-07-07,effluent,PFPA,14
Margaret H. Chandler WWRF,2021-07-07,influent,PFBA,31
Margaret H. Chandler WWRF,2021-07-07,influent,PFPA,28
Michelson WWRF,2020-11-12,effluent,PFBA,6.95
Michelson WWRF,2020-11-12,effluent,PFBS,2.3
Michelson WWRF,2020-11-12,effluent,PFDA,2.4
Michelson WWRF,2020-11-12,effluent,PFHpA,2.7
Michelson WWRF,2020-11-12,effluent,PFHxA,32
Michelson WWRF,2020-11-12,effluent,PFHxS,1.7000000000000002
Michelson WWRF,2020-11-12,effluent,PFNA,1.0350000000000001
Michelson WWRF,2020-11-12,effluent,PFOA,14.5
Michelson WWRF,2020-11-12,effluent,PFOS,2.3
Michelson WWRF,2020-11-12,effluent,PFPA,50
Michelson WWRF,2020-11-12,influent,PFBA,5.175
Michelson WWRF,2020-11-12,influent,PFBS,2.5
Michelson WWRF,2020-11-12,influent,PFDA,0.735
Michelson WWRF,2020-11-12,influent,PFDS,0.73
Michelson WWRF,2020-11-12,influent,PFHpA,1.875
Michelson WWRF,2020-11-12,influent,PFHxA,7.8500000000000005
Michelson WWRF,2020-11-12,influent,PFHxS,2.5
Michelson WWRF,2020-11-12,influent,PFNA,0.8
Michelson WWRF,2020-11-12,influent,PFOA,5.05
Michelson WWRF,2020-11-12,influent,PFOS,4.425
Michelson WWRF,2020-11-12,influent,PFPA,7.275
Michelson WWRF,2021-02-03,effluent,PFBA,9.3
Michelson WWRF,2021-02-03,effluent,PFBS,5.85
Michelson WWRF,2021-02-03,effluent,PFDA,2.95
Michelson WWRF,2021-02-03,effluent,PFHpA,2.95
Michelson WWRF,2021-02-03,effluent,PFHxA,37.5
Michelson WWRF,2021-02-03,effluent,PFHxS,2.3
Michelson WWRF,2021-02-03,effluent,PFNA,0.975
Michelson WWRF,2021-02-03,effluent,PFOA,16
Michelson WWRF,2021-02-03,effluent,PFOS,3.3
Michelson WWRF,2021-02-03,effluent,PFPA,50
Michelson WWRF,2021-02-03,influent,MEFOSE,3.45
Michelson WWRF,2021-02-03,influent,PFBA,4.65
Michelson WWRF,2021-02-03,influent,PFBS,3.4000000000000004
Michelson WWRF,2021-02-03,influent,PFDA,1.1
Michelson WWRF,2021-02-03,influent,PFHpA,3.3499999999999996
Michelson WWRF,2021-02-03,influent,PFHxA,8.600000000000001
Michelson WWRF,2021-02-03,influent,PFHxS,2.1
Michelson WWRF,2021-02-03,influent,PFNA,0.8300000000000001
Michelson WWRF,2021-02-03,influent,PFOA,6.3
Michelson WWRF,2021-02-03,influent,PFOS,3.95
Michelson WWRF,2021-02-03,influent,PFPA,6.949999999999999
Michelson WWRF,2021-04-30,effluent,NMEFOSAA,0.6033333333333334
Michelson WWRF,2021-04-30,effluent,PFBA,5.925
Michelson WWRF,2021-04-30,effluent,PFBS,2.375
Michelson WWRF,2021-04-30,effluent,PFDA,3.1
Michelson WWRF,2021-04-30,effluent,PFHpA,2.075
Michelson WWRF,2021-04-30,effluent,PFHxA,35.5
Michelson WWRF,2021-04-30,effluent,PFHxS,1.375
Michelson WWRF,2021-04-30,effluent,PFNA,0.8049999999999999
Michelson WWRF,2021-04-30,effluent,PFOA,13.75
Michelson WWRF,2021-04-30,effluent,PFOS,2.275
Michelson WWRF,2021-04-30,effluent,PFPA,36.5
Michelson WWRF,2021-04-30,influent,MEFOSE,1.3
Michelson WWRF,2021-04-30,influent,PFBA,3.05
Michelson WWRF,2021-04-30,influent,PFBS,1.2000000000000002
Michelson WWRF,2021-04-30,influent,PFDA,0.6799999999999999
Michelson WWRF,2021-04-30,influent,PFDS,0.91
Michelson WWRF,2021-04-30,influent,PFHpA,1.9500000000000002
Michelson WWRF,2021-04-30,influent,PFHxA,6.550000000000001
Michelson WWRF,2021-04-30,influent,PFHxS,1.75
Michelson WWRF,2021-04-30,influent,PFNA,0.625
Michelson WWRF,2021-04-30,influent,PFOA,3.7
Michelson WWRF,2021-04-30,influent,PFOS,2.55
Michelson WWRF,2021-04-30,influent,PFPA,4.7
Michelson WWRF,2021-04-30,influent,PFPES,0.81
Michelson WWRF,2021-07-22,effluent,PFBA,6.45
Michelson WWRF,2021-07-22,effluent,PFBS,3.3
Michelson WWRF,2021-07-22,effluent,PFDA,2.5999999999999996
Michelson WWRF,2021-07-22,effluent,PFHpA,2.6
Michelson WWRF,2021-07-22,effluent,PFHxA,36.5
Michelson WWRF,2021-07-22,effluent,PFOA,17
Michelson WWRF,2021-07-22,effluent,PFOS,2.1500000000000004
Michelson WWRF,2021-07-22,effluent,PFPA,66.5
Michelson WWRF,2021-07-22,influent,PFBS,1.8
Michelson WWRF,2021-07-22,influent,PFHpA,2.4749999999999996
Michelson WWRF,2021-07-22,influent,PFHxA,7.65
Michelson WWRF,2021-07-22,influent,PFOA,4.625
Michelson WWRF,2021-07-22,influent,PFOS,5.1
Michelson WWRF,2021-07-22,influent,PFPA,7.475
Ojai Valley WWTP,2020-11-18,effluent,PFBA,4.8
Ojai Valley WWTP,2020-11-18,effluent,PFBS,9.4
Ojai Valley WWTP,2020-11-18,effluent,PFDA,1
Ojai Valley WWTP,2020-11-18,effluent,PFHpA,2.9
Ojai Valley WWTP,2020-11-18,effluent,PFHxA,27
Ojai Valley WWTP,2020-11-18,effluent,PFHxS,0.83
Ojai Valley WWTP,2020-11-18,effluent,PFNA,0.75
Ojai Valley WWTP,2020-11-18,effluent,PFOA,18
Ojai Valley WWTP,2020-11-18,effluent,PFOS,1.4
Ojai Valley WWTP,2020-11-18,effluent,PFPA,65
Ojai Valley WWTP,2020-11-18,influent,GenX,0.51
Ojai Valley WWTP,2020-11-18,influent,MEFOSE,3.1
Ojai Valley WWTP,2020-11-18,influent,NMEFOSAA,0.54
Ojai Valley WWTP,2020-11-18,influent,PFBA,3.4
Ojai Valley WWTP,2020-11-18,influent,PFDA,1
Ojai Valley WWTP,2020-11-18,influent,PFHpA,1.1
Ojai Valley WWTP,2020-11-18,influent,PFHxA,6.8
Ojai Valley WWTP,2020-11-18,influent,PFNA,0.69
Ojai Valley WWTP,2020-11-18,influent,PFOA,3.2
Ojai Valley WWTP,2020-11-18,influent,PFOS,2.7
Ojai Valley WWTP,2020-11-18,influent,PFPA,6.7
Ojai Valley WWTP,2020-11-18,influent,PFPES,0.5
Ojai Valley WWTP,2021-03-16,effluent,ETFOSE,0.91
Ojai Valley WWTP,2021-03-16,effluent,FOSA,0.65
Ojai Valley WWTP,2021-03-16,effluent,NMEFOSAA,0.49
Ojai Valley WWTP,2021-03-16,effluent,PFBA,4.65
Ojai Valley WWTP,2021-03-16,effluent,PFBS,7.9
Ojai Valley WWTP,2021-03-16,effluent,PFDA,1.1
Ojai Valley WWTP,2021-03-16,effluent,PFHpA,2.5
Ojai Valley WWTP,2021-03-16,effluent,PFHxA,22
Ojai Valley WWTP,2021-03-16,effluent,PFHxS,1.1
Ojai Valley WWTP,2021-03-16,effluent,PFNA,0.6699999999999999
Ojai Valley WWTP,2021-03-16,effluent,PFOA,20.5
Ojai Valley WWTP,2021-03-16,effluent,PFOS,1.85
Ojai Valley WWTP,2021-03-16,effluent,PFPA,46.5
Ojai Valley WWTP,2021-03-16,influent,MEFOSE,1.9000000000000001
Ojai Valley WWTP,2021-03-16,influent,NETFOSAA,0.57
Ojai Valley WWTP,2021-03-16,influent,PFBA,3.5999999999999996
Ojai Valley WWTP,2021-03-16,influent,PFBS,1.4500000000000002
Ojai Valley WWTP,2021-03-16,influent,PFDA,1.6
Ojai Valley WWTP,2021-03-16,influent,PFDoA,0.49
Ojai Valley WWTP,2021-03-16,influent,PFDS,1.5
Ojai Valley WWTP,2021-03-16,influent,PFHpA,1.5
Ojai Valley WWTP,2021-03-16,influent,PFHxA,8.15
Ojai Valley WWTP,2021-03-16,influent,PFHxS,1.2
Ojai Valley WWTP,2021-03-16,influent,PFNA,0.815
Ojai Valley WWTP,2021-03-16,influent,PFOA,5.1
Ojai Valley WWTP,2021-03-16,influent,PFOS,2.75
Ojai Valley WWTP,2021-03-16,influent,PFPA,5.2
Ojai Valley WWTP,2021-06-22,effluent,FOSA,0.86
Ojai Valley WWTP,2021-06-22,effluent,NMEFOSAA,0.54
Ojai Valley WWTP,2021-06-22,effluent,PFBA,4.6
Ojai Valley WWTP,2021-06-22,effluent,PFBS,11
Ojai Valley WWTP,2021-06-22,effluent,PFDA,1.0150000000000001
Ojai Valley WWTP,2021-06-22,effluent,PFHpA,4.5
Ojai Valley WWTP,2021-06-22,effluent,PFHxA,25
Ojai Valley WWTP,2021-06-22,effluent,PFHxS,0.74
Ojai Valley WWTP,2021-06-22,effluent,PFNA,0.8049999999999999
Ojai Valley WWTP,2021-06-22,effluent,PFOA,28.5
Ojai Valley WWTP,2021-06-22,effluent,PFOS,2.3
Ojai Valley WWTP,2021-06-22,effluent,PFPA,67
Ojai Valley WWTP,2021-06-22,influent,4:2FTS,0.92
Ojai Valley WWTP,2021-06-22,influent,8:2FTS,0.96
Ojai Valley WWTP,2021-06-22,influent,MEFOSE,2.25
Ojai Valley WWTP,2021-06-22,influent,NETFOSAA,0.52
Ojai Valley WWTP,2021-06-22,influent,NMEFOSAA,0.53
Ojai Valley WWTP,2021-06-22,influent,PFBA,2.2
Ojai Valley WWTP,2021-06-22,influent,PFBS,3.4000000000000004
Ojai Valley WWTP,2021-06-22,influent,PFDA,0.9199999999999999
Ojai Valley WWTP,2021-06-22,influent,PFDS,2.5
Ojai Valley WWTP,2021-06-22,influent,PFHpA,1.2999999999999998
Ojai Valley WWTP,2021-06-22,influent,PFHxA,4.9
Ojai Valley WWTP,2021-06-22,influent,PFNA,0.62
Ojai Valley WWTP,2021-06-22,influent,PFOA,3.5
Ojai Valley WWTP,2021-06-22,influent,PFOS,1.95
Ojai Valley WWTP,2021-06-22,influent,PFPA,2.3
Oxnard WWTP,2021-01-21,effluent,PFBS,260
Oxnard WWTP,2021-01-21,effluent,PFHxDA,26
Oxnard WWTP,2021-01-21,effluent,PFOA,33
Oxnard WWTP,2021-01-21,effluent,PFPA,6
Oxnard WWTP,2021-01-21,influent,PFBS,110
Oxnard WWTP,2021-01-21,influent,PFHxDA,12
Oxnard WWTP,2021-01-21,influent,PFOA,17
Oxnard WWTP,2021-01-21,influent,PFPA,170
Oxnard WWTP,2021-04-21,influent,PFPA,61
Oxnard WWTP,2021-07-13,effluent,PFBA,19
Oxnard WWTP,2021-07-13,effluent,PFHxDA,16
Oxnard WWTP,2021-07-13,effluent,PFOA,21
Oxnard WWTP,2021-07-13,effluent,PFPA,6.4
Oxnard WWTP,2021-07-13,influent,PFDS,57
Oxnard WWTP,2021-07-13,influent,PFHpA,7.9
Oxnard WWTP,2021-07-13,influent,PFHxDA,11
Oxnard WWTP,2021-07-13,influent,PFOA,6.1
Oxnard WWTP,2021-07-13,influent,PFPA,210
Palm Springs WWTF,2020-12-17,effluent,PFHxA,11.9
Palm Springs WWTF,2020-12-17,effluent,PFPA,13.9
Palm Springs WWTF,2021-03-17,effluent,PFHxA,14.4
Palm Springs WWTF,2021-03-17,effluent,PFOA,4.88
Palm Springs WWTF,2021-03-17,effluent,PFPA,12.5
Palm Springs WWTF,2021-03-17,influent,NETFOSAA,25.6
Palm Springs WWTF,2021-03-17,influent,PFHxA,6.18
Palm Springs WWTF,2021-03-17,influent,PFPES,98.5
Palm Springs WWTF,2021-06-10,effluent,FOSA,6.38
Palm Springs WWTF,2021-06-10,effluent,PFBA,6.5
Palm Springs WWTF,2021-06-10,effluent,PFBS,6.86
Palm Springs WWTF,2021-06-10,effluent,PFHxA,12.9
Palm Springs WWTF,2021-06-10,effluent,PFOA,5.33
Palm Springs WWTF,2021-06-10,effluent,PFPA,13.7
Palm Springs WWTF,2021-06-10,influent,PFHxA,5.76
Palm Springs WWTF,2021-07-30,effluent,6:2FTS,5.13
Palm Springs WWTF,2021-07-30,effluent,FOSA,10.8
Palm Springs WWTF,2021-07-30,effluent,PFBA,4.44
Palm Springs WWTF,2021-07-30,effluent,PFHxA,12.8
Palm Springs WWTF,2021-07-30,effluent,PFOA,5.28
Palm Springs WWTF,2021-07-30,effluent,PFPA,17.5
Palmdale Water Reclamation Plant,2020-11-24,effluent,PFBA,2.94
Palmdale Water Reclamation Plant,2020-11-24,effluent,PFBS,3.02
Palmdale Water Reclamation Plant,2020-11-24,effluent,PFHxA,19.1
Palmdale Water Reclamation Plant,2020-11-24,effluent,PFOA,8.18
Palmdale Water Reclamation Plant,2020-11-24,effluent,PFPA,9.16
Palmdale Water Reclamation Plant,2020-11-24,influent,PFHxA,4.27
Palmdale Water Reclamation Plant,2020-11-24,influent,PFPA,2.24
Palmdale Water Reclamation Plant,2021-02-23,effluent,PFBA,2.33
Palmdale Water Reclamation Plant,2021-02-23,effluent,PFBS,2.18
Palmdale Water Reclamation Plant,2021-02-23,effluent,PFHxA,20.4
Palmdale Water Reclamation Plant,2021-02-23,effluent,PFOA,4.75
Palmdale Water Reclamation Plant,2021-02-23,effluent,PFPA,7.89
Palmdale Water Reclamation Plant,2021-02-23,influent,PFHxA,4.49
Palmdale Water Reclamation Plant,2021-05-25,effluent,PFBS,3.05
Palmdale Water Reclamation Plant,2021-05-25,effluent,PFHxA,17.7
Palmdale Water Reclamation Plant,2021-05-25,effluent,PFOA,5.75
Palmdale Water Reclamation Plant,2021-05-25,effluent,PFOS,2.03
Palmdale Water Reclamation Plant,2021-05-25,effluent,PFPA,7.78
Palmdale Water Reclamation Plant,2021-05-25,influent,PFHxA,5.12
Palmdale Water Reclamation Plant,2021-05-25,influent,PFPA,3.7
Palmdale Water Reclamation Plant,2021-09-08,effluent,PFBA,3.05
Palmdale Water Reclamation Plant,2021-09-08,effluent,PFHxA,18.9
Palmdale Water Reclamation Plant,2021-09-08,effluent,PFOA,7.31
Palmdale Water Reclamation Plant,2021-09-08,effluent,PFPA,13.9
Palmdale Water Reclamation Plant,2021-09-08,influent,PFHxA,5.5
Palmdale Water Reclamation Plant,2021-09-08,influent,PFPA,4.57
Point Loma WWTP & Ocean Outfall,2021-01-12,effluent,5:3FTCA,41
Point Loma WWTP & Ocean Outfall,2020-10-01,effluent,5:3FTCA,33
Point Loma WWTP & Ocean Outfall,2020-10-01,effluent,6:2FTS,5.7
Point Loma WWTP & Ocean Outfall,2020-10-01,effluent,PFBA,42
Point Loma WWTP & Ocean Outfall,2020-10-01,effluent,PFBS,28
Point Loma WWTP & Ocean Outfall,2020-10-01,effluent,PFHxA,29
Point Loma WWTP & Ocean Outfall,2020-10-01,effluent,PFOA,13
Point Loma WWTP & Ocean Outfall,2020-10-01,effluent,PFOS,8.2
Point Loma WWTP & Ocean Outfall,2020-10-01,effluent,PFPA,48
Point Loma WWTP & Ocean Outfall,2020-10-01,influent,5:3FTCA,44
Point Loma WWTP & Ocean Outfall,2020-10-01,influent,PFBS,29
Point Loma WWTP & Ocean Outfall,2020-10-01,influent,PFHxA,31
Point Loma WWTP & Ocean Outfall,2020-10-01,influent,PFPA,57
Point Loma WWTP & Ocean Outfall,2021-04-22,effluent,5:3FTCA,46
Point Loma WWTP & Ocean Outfall,2021-04-22,effluent,PFHxA,28
Point Loma WWTP & Ocean Outfall,2021-04-22,effluent,PFPA,60
Point Loma WWTP & Ocean Outfall,2021-04-22,influent,PFPA,84
Point Loma WWTP & Ocean Outfall,2021-07-01,effluent,PFHxA,30
Point Loma WWTP & Ocean Outfall,2021-07-01,effluent,PFPA,60
Point Loma WWTP & Ocean Outfall,2021-07-01,influent,PFHxA,28
Point Loma WWTP & Ocean Outfall,2021-07-01,influent,PFPA,53
San Jose Creek Water Reclamation Plant,2020-11-19,effluent,FOSA,3.49
San Jose Creek Water Reclamation Plant,2020-11-19,effluent,PFBA,2.94
San Jose Creek Water Reclamation Plant,2020-11-19,effluent,PFHxA,18.7
San Jose Creek Water Reclamation Plant,2020-11-19,effluent,PFOA,6.29
San Jose Creek Water Reclamation Plant,2020-11-19,effluent,PFPA,16.3
San Jose Creek Water Reclamation Plant,2020-11-19,influent,PFBA,2.21
San Jose Creek Water Reclamation Plant,2020-11-19,influent,PFHxA,2.71
San Jose Creek Water Reclamation Plant,2020-11-19,influent,PFHxS,3.85
San Jose Creek Water Reclamation Plant,2021-02-09,effluent,FOSA,2.63
San Jose Creek Water Reclamation Plant,2021-02-09,effluent,PFBA,3.4
San Jose Creek Water Reclamation Plant,2021-02-09,effluent,PFHxA,15.8
San Jose Creek Water Reclamation Plant,2021-02-09,effluent,PFOA,5.84
San Jose Creek Water Reclamation Plant,2021-02-09,effluent,PFPA,13.4
San Jose Creek Water Reclamation Plant,2021-02-09,influent,PFBA,22.1
San Jose Creek Water Reclamation Plant,2021-02-09,influent,PFHxA,3.43
San Jose Creek Water Reclamation Plant,2021-02-09,influent,PFPA,3.37
San Jose Creek Water Reclamation Plant,2021-05-25,effluent,FOSA,2.33
San Jose Creek Water Reclamation Plant,2021-05-25,effluent,PFBA,6.11
San Jose Creek Water Reclamation Plant,2021-05-25,effluent,PFHxA,18
San Jose Creek Water Reclamation Plant,2021-05-25,effluent,PFOA,4.94
San Jose Creek Water Reclamation Plant,2021-05-25,effluent,PFPA,12.9
San Jose Creek Water Reclamation Plant,2021-05-25,influent,PFHxA,5.01
San Jose Creek Water Reclamation Plant,2021-05-25,influent,PFOA,2.14
San Jose Creek Water Reclamation Plant,2021-05-25,influent,PFPA,4.9
San Jose Creek Water Reclamation Plant,2021-08-03,effluent,FOSA,9.13
San Jose Creek Water Reclamation Plant,2021-08-03,effluent,PFBA,6.17
San Jose Creek Water Reclamation Plant,2021-08-03,effluent,PFHxA,17.9
San Jose Creek Water Reclamation Plant,2021-08-03,effluent,PFOA,4.92
San Jose Creek Water Reclamation Plant,2021-08-03,effluent,PFPA,15.9
South Bay WRP,2021-01-12,effluent,PFHxA,29
South Bay WRP,2021-01-12,influent,PFHxA,160
South Bay WRP,2021-01-12,influent,PFPA,230
South Bay WRP,2020-10-01,effluent,PFBA,10
South Bay WRP,2020-10-01,effluent,PFBS,31
South Bay WRP,2020-10-01,effluent,PFHxA,39
South Bay WRP,2020-10-01,effluent,PFOA,15
South Bay WRP,2020-10-01,effluent,PFOS,6.5
South Bay WRP,2020-10-01,effluent,PFPA,49
South Bay WRP,2020-10-01,influent,PFBA,9.8
South Bay WRP,2020-10-01,influent,PFBS,23
South Bay WRP,2020-10-01,influent,PFHxA,38
South Bay WRP,2020-10-01,influent,PFOA,13
South Bay WRP,2020-10-01,influent,PFOS,6.5
South Bay WRP,2020-10-01,influent,PFPA,46
South Bay WRP,2021-04-22,effluent,PFBA,48
South Bay WRP,2021-04-22,effluent,PFDA,1.4
South Bay WRP,2021-04-22,effluent,PFHpA,5.4
South Bay WRP,2021-04-22,effluent,PFHxA,47
South Bay WRP,2021-04-22,effluent,PFHxS,9.9
South Bay WRP,2021-04-22,effluent,PFNA,2.1
South Bay WRP,2021-04-22,effluent,PFOA,16
South Bay WRP,2021-04-22,effluent,PFOS,9.3
South Bay WRP,2021-04-22,effluent,PFPA,53
South Bay WRP,2021-04-22,influent,PFBA,25
South Bay WRP,2021-04-22,influent,PFDA,1.4
South Bay WRP,2021-04-22,influent,PFHpA,3.5
South Bay WRP,2021-04-22,influent,PFHpS,32
South Bay WRP,2021-04-22,influent,PFHxA,39
South Bay WRP,2021-04-22,influent,PFHxS,4.6
South Bay WRP,2021-04-22,influent,PFOA,16
South Bay WRP,2021-04-22,influent,PFOS,14.266666666666667
South Bay WRP,2021-04-22,influent,PFPA,42.666666666666664
South Bay WRP,2021-04-22,influent,PFPES,3.4
South Bay WRP,2021-07-01,effluent,PFBA,6.8
South Bay WRP,2021-07-01,effluent,PFBS,4.5
South Bay WRP,2021-07-01,effluent,PFHpA,5.3
South Bay WRP,2021-07-01,effluent,PFHxA,64
South Bay WRP,2021-07-01,effluent,PFHxS,8
South Bay WRP,2021-07-01,effluent,PFOA,12
South Bay WRP,2021-07-01,effluent,PFOS,7.5
South Bay WRP,2021-07-01,effluent,PFPA,150
South Bay WRP,2021-07-01,influent,PFBA,6.2
South Bay WRP,2021-07-01,influent,PFBS,4.8
South Bay WRP,2021-07-01,influent,PFHpA,5.4
South Bay WRP,2021-07-01,influent,PFHxA,46
South Bay WRP,2021-07-01,influent,PFHxS,9.3
South Bay WRP,2021-07-01,influent,PFOA,11
South Bay WRP,2021-07-01,influent,PFOS,7.5
South Bay WRP,2021-07-01,influent,PFPA,150
Terminal Island Water Reclamation Plant,2020-10-05,effluent,FOSA,9.94
Terminal Island Water Reclamation Plant,2020-10-05,effluent,PFBA,6.84
Terminal Island Water Reclamation Plant,2020-10-05,effluent,PFBS,6.05
Terminal Island Water Reclamation Plant,2020-10-05,effluent,PFHxA,20.5
Terminal Island Water Reclamation Plant,2020-10-05,effluent,PFHxS,10.9
Terminal Island Water Reclamation Plant,2020-10-05,effluent,PFOA,8.31
Terminal Island Water Reclamation Plant,2020-10-05,effluent,PFOS,28.5
Terminal Island Water Reclamation Plant,2020-10-05,effluent,PFPA,15
Terminal Island Water Reclamation Plant,2020-10-05,influent,PFHxA,6.36
Terminal Island Water Reclamation Plant,2020-10-05,influent,PFHxS,4.93
